case_id,finding_count,high_severity_count,review_severity_count,room_count,object_count,flow_intersection_count,has_toilet_near_production,has_waste_flow_intersection,unknown_room_count,handwashing_point_count,revision_risk_class
synthetic-training-0001,2,0,0,13,6,2,0,0,0,0,medium
synthetic-training-0002,3,3,0,13,10,0,0,0,0,0,high
synthetic-training-0003,7,3,1,10,12,3,1,0,0,3,high
synthetic-training-0004,4,1,1,10,15,2,0,0,1,0,high
synthetic-training-0005,5,2,0,14,15,3,0,1,0,2,high
synthetic-training-0006,1,1,0,6,16,0,0,1,0,1,medium
synthetic-training-0007,7,2,3,9,6,2,0,1,1,1,high
synthetic-training-0008,6,1,4,13,11,1,0,1,1,2,high
synthetic-training-0009,3,2,0,6,10,1,0,1,1,2,high
synthetic-training-0010,6,2,1,7,11,3,1,1,0,2,high
synthetic-training-0011,9,2,4,13,19,3,1,1,0,1,high
synthetic-training-0012,0,0,0,14,6,0,0,0,2,3,low
synthetic-training-0013,9,3,3,13,12,3,1,0,2,0,high
synthetic-training-0014,4,2,0,9,20,2,1,0,1,0,high
synthetic-training-0015,5,1,4,7,20,0,1,0,0,2,high
synthetic-training-0016,6,0,4,9,11,2,1,0,0,2,high
synthetic-training-0017,1,0,1,7,19,0,0,1,0,1,low
synthetic-training-0018,6,1,2,11,15,3,0,0,2,2,high
synthetic-training-0019,10,3,4,10,4,3,0,0,0,0,high
synthetic-training-0020,6,1,4,8,6,1,0,0,2,0,high
synthetic-training-0021,2,0,2,8,8,0,0,1,2,3,medium
synthetic-training-0022,7,3,1,11,15,3,1,0,0,0,high
synthetic-training-0023,9,3,3,10,7,3,0,0,0,3,high
synthetic-training-0024,3,1,1,9,18,1,1,0,1,1,high
synthetic-training-0025,4,1,0,6,11,3,0,0,2,0,high
synthetic-training-0026,7,1,3,7,16,3,1,0,1,0,high
synthetic-training-0027,5,0,3,7,10,2,1,1,1,3,high
synthetic-training-0028,3,2,1,14,19,0,0,1,0,0,high
synthetic-training-0029,1,1,0,8,16,0,0,0,2,0,medium
synthetic-training-0030,5,0,4,9,10,1,0,0,1,2,medium
synthetic-training-0031,5,2,1,12,14,2,1,0,2,2,high
synthetic-training-0032,3,0,0,13,12,3,0,0,2,1,high
synthetic-training-0033,3,1,2,12,13,0,0,1,1,1,high
synthetic-training-0034,6,0,4,6,8,2,0,0,1,0,high
synthetic-training-0035,5,2,2,13,19,1,1,0,2,2,high
synthetic-training-0036,2,2,0,10,8,0,1,1,0,0,high
synthetic-training-0037,6,2,1,7,5,3,1,0,0,0,high
synthetic-training-0038,7,2,4,10,5,1,1,0,0,2,high
synthetic-training-0039,4,2,1,14,8,1,0,1,2,3,high
synthetic-training-0040,3,1,1,11,11,1,1,0,0,2,high
synthetic-training-0041,3,2,1,8,18,0,1,0,1,1,high
synthetic-training-0042,5,2,2,11,14,1,0,0,2,1,high
synthetic-training-0043,4,2,0,5,7,2,1,1,2,2,high
synthetic-training-0044,5,2,1,10,14,2,0,0,2,3,high
synthetic-training-0045,7,3,4,11,4,0,1,0,1,0,high
synthetic-training-0046,6,1,2,6,13,3,0,1,2,2,high
synthetic-training-0047,7,2,3,8,17,2,1,1,2,1,high
synthetic-training-0048,6,3,1,8,17,2,1,0,1,2,high
synthetic-training-0049,8,2,3,7,6,3,1,0,2,3,high
synthetic-training-0050,8,2,4,8,10,2,0,0,2,2,high
synthetic-training-0051,1,1,0,12,17,0,0,1,2,0,high
synthetic-training-0052,7,1,3,6,17,3,1,0,0,0,high
synthetic-training-0053,5,1,1,7,18,3,0,0,0,3,high
synthetic-training-0054,8,2,3,12,12,3,1,0,2,3,high
synthetic-training-0055,6,1,2,9,11,3,0,1,1,0,high
synthetic-training-0056,6,2,2,11,8,2,0,0,0,1,high
synthetic-training-0057,4,1,0,11,5,3,1,1,2,3,high
synthetic-training-0058,7,1,3,10,13,3,0,1,1,0,high
synthetic-training-0059,7,3,3,12,4,1,1,0,1,3,high
synthetic-training-0060,8,3,2,11,4,3,0,1,0,0,high
synthetic-training-0061,4,0,3,11,14,1,1,0,0,2,medium
synthetic-training-0062,6,1,3,9,6,2,1,1,1,3,high
synthetic-training-0063,3,3,0,5,4,0,1,0,2,0,high
synthetic-training-0064,2,1,1,6,10,0,0,0,0,3,low
synthetic-training-0065,7,3,2,6,4,2,0,0,0,2,high
synthetic-training-0066,9,2,4,6,13,3,1,0,0,1,high
synthetic-training-0067,4,0,4,6,20,0,1,1,2,2,high
synthetic-training-0068,5,2,0,12,8,3,1,0,1,2,high
synthetic-training-0069,6,3,1,10,11,2,1,1,1,2,high
